"Statistic Label","Year","Percentile","Age Group","UNIT","VALUE"
"Weekly Earnings","2011","5th percentile","15 - 24 years","€","75.31"
"Weekly Earnings","2011","5th percentile","15 years and over","€","125.07"
"Weekly Earnings","2011","5th percentile","25 - 29 years","€","157.08"
"Weekly Earnings","2011","5th percentile","30 - 39 years","€","176.68"
"Weekly Earnings","2011","5th percentile","40 - 49 years","€","155.94"
"Weekly Earnings","2011","5th percentile","50 - 59 years","€","138.74"
"Weekly Earnings","2011","5th percentile","60 years and over","€","89.05"
"Weekly Earnings","2011","10th percentile","15 - 24 years","€","100"
"Weekly Earnings","2011","10th percentile","15 years and over","€","182.29"
"Weekly Earnings","2011","10th percentile","25 - 29 years","€","214.71"
"Weekly Earnings","2011","10th percentile","30 - 39 years","€","246.09"
"Weekly Earnings","2011","10th percentile","40 - 49 years","€","215.58"
"Weekly Earnings","2011","10th percentile","50 - 59 years","€","204.91"
"Weekly Earnings","2011","10th percentile","60 years and over","€","127.15"
"Weekly Earnings","2011","15th percentile","15 - 24 years","€","121.15"
"Weekly Earnings","2011","15th percentile","15 years and over","€","226.45"
"Weekly Earnings","2011","15th percentile","25 - 29 years","€","265.82"
"Weekly Earnings","2011","15th percentile","30 - 39 years","€","309.47"
"Weekly Earnings","2011","15th percentile","40 - 49 years","€","278.1"
"Weekly Earnings","2011","15th percentile","50 - 59 years","€","244.91"
"Weekly Earnings","2011","15th percentile","60 years and over","€","165.81"
"Weekly Earnings","2011","20th percentile","15 - 24 years","€","141.62"
"Weekly Earnings","2011","20th percentile","15 years and over","€","276.58"
"Weekly Earnings","2011","20th percentile","25 - 29 years","€","308.48"
"Weekly Earnings","2011","20th percentile","30 - 39 years","€","358.52"
"Weekly Earnings","2011","20th percentile","40 - 49 years","€","334.93"
"Weekly Earnings","2011","20th percentile","50 - 59 years","€","303.26"
"Weekly Earnings","2011","20th percentile","60 years and over","€","205.69"
"Weekly Earnings","2011","25th percentile","15 - 24 years","€","161.09"
"Weekly Earnings","2011","25th percentile","15 years and over","€","322.61"
"Weekly Earnings","2011","25th percentile","25 - 29 years","€","340.71"
"Weekly Earnings","2011","25th percentile","30 - 39 years","€","403.67"
"Weekly Earnings","2011","25th percentile","40 - 49 years","€","386"
"Weekly Earnings","2011","25th percentile","50 - 59 years","€","352.75"
"Weekly Earnings","2011","25th percentile","60 years and over","€","228.93"
"Weekly Earnings","2011","30th percentile","15 - 24 years","€","181.13"
"Weekly Earnings","2011","30th percentile","15 years and over","€","361.42"
"Weekly Earnings","2011","30th percentile","25 - 29 years","€","367.35"
"Weekly Earnings","2011","30th percentile","30 - 39 years","€","448.57"
"Weekly Earnings","2011","30th percentile","40 - 49 years","€","435.46"
"Weekly Earnings","2011","30th percentile","50 - 59 years","€","405.46"
"Weekly Earnings","2011","30th percentile","60 years and over","€","271.26"
"Weekly Earnings","2011","35th percentile","15 - 24 years","€","201.33"
"Weekly Earnings","2011","35th percentile","15 years and over","€","402.03"
"Weekly Earnings","2011","35th percentile","25 - 29 years","€","395.25"
"Weekly Earnings","2011","35th percentile","30 - 39 years","€","491.58"
"Weekly Earnings","2011","35th percentile","40 - 49 years","€","485.92"
"Weekly Earnings","2011","35th percentile","50 - 59 years","€","457.73"
"Weekly Earnings","2011","35th percentile","60 years and over","€","314.45"
"Weekly Earnings","2011","40th percentile","15 - 24 years","€","221.84"
"Weekly Earnings","2011","40th percentile","15 years and over","€","443.85"
"Weekly Earnings","2011","40th percentile","25 - 29 years","€","423.83"
"Weekly Earnings","2011","40th percentile","30 - 39 years","€","534.43"
"Weekly Earnings","2011","40th percentile","40 - 49 years","€","537.19"
"Weekly Earnings","2011","40th percentile","50 - 59 years","€","514.55"
"Weekly Earnings","2011","40th percentile","60 years and over","€","351.89"
"Weekly Earnings","2011","45th percentile","15 - 24 years","€","245.08"
"Weekly Earnings","2011","45th percentile","15 years and over","€","488.23"
"Weekly Earnings","2011","45th percentile","25 - 29 years","€","452.75"
"Weekly Earnings","2011","45th percentile","30 - 39 years","€","578.6"
"Weekly Earnings","2011","45th percentile","40 - 49 years","€","590.12"
"Weekly Earnings","2011","45th percentile","50 - 59 years","€","572.54"
"Weekly Earnings","2011","45th percentile","60 years and over","€","400.63"
"Weekly Earnings","2011","50th percentile","15 - 24 years","€","269.07"
"Weekly Earnings","2011","50th percentile","15 years and over","€","534.84"
"Weekly Earnings","2011","50th percentile","25 - 29 years","€","482.42"
"Weekly Earnings","2011","50th percentile","30 - 39 years","€","625.53"
"Weekly Earnings","2011","50th percentile","40 - 49 years","€","646.68"
"Weekly Earnings","2011","50th percentile","50 - 59 years","€","628.89"
"Weekly Earnings","2011","50th percentile","60 years and over","€","441"
"Weekly Earnings","2011","55th percentile","15 - 24 years","€","294.01"
"Weekly Earnings","2011","55th percentile","15 years and over","€","585.12"
"Weekly Earnings","2011","55th percentile","25 - 29 years","€","513.33"
"Weekly Earnings","2011","55th percentile","30 - 39 years","€","675.74"
"Weekly Earnings","2011","55th percentile","40 - 49 years","€","706.3"
"Weekly Earnings","2011","55th percentile","50 - 59 years","€","692.18"
"Weekly Earnings","2011","55th percentile","60 years and over","€","495"
"Weekly Earnings","2011","60th percentile","15 - 24 years","€","318.27"
"Weekly Earnings","2011","60th percentile","15 years and over","€","640.32"
"Weekly Earnings","2011","60th percentile","25 - 29 years","€","546.2"
"Weekly Earnings","2011","60th percentile","30 - 39 years","€","730.16"
"Weekly Earnings","2011","60th percentile","40 - 49 years","€","772.5"
"Weekly Earnings","2011","60th percentile","50 - 59 years","€","756.13"
"Weekly Earnings","2011","60th percentile","60 years and over","€","556.35"
"Weekly Earnings","2011","65th percentile","15 - 24 years","€","342.31"
"Weekly Earnings","2011","65th percentile","15 years and over","€","702.52"
"Weekly Earnings","2011","65th percentile","25 - 29 years","€","583.78"
"Weekly Earnings","2011","65th percentile","30 - 39 years","€","789.3"
"Weekly Earnings","2011","65th percentile","40 - 49 years","€","846.59"
"Weekly Earnings","2011","65th percentile","50 - 59 years","€","826.15"
"Weekly Earnings","2011","65th percentile","60 years and over","€","607.49"
