"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","-","All NACE economic sectors","Euro","38592"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","F","Construction (F)","Euro","35025"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26253"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","H","Transportation and storage (H)","Euro","48677"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","I","Accommodation and food service activities (I)","Euro","19759"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","J","Information and communication (J)","Euro","45169"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","M","Professional, scientific and technical activities (M)","Euro","42545"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","N","Administrative and support service activities (N)","Euro","36755"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","O","Public administration and defence; compulsory social security (O)","Euro","45161"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","P","Education (P)","Euro","48964"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Q","Human health and social work activities (Q)","Euro","33544"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Y0900","Industry (B to E)","Euro","47255"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Y3500","Financial, insurance and real estate activities (K,L)","Euro","40973"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1450-13a3-e055-000000000001","Co. Clare","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","24403"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","-","All NACE economic sectors","Euro","39169"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","F","Construction (F)","Euro","36737"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","28558"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","H","Transportation and storage (H)","Euro","37240"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","I","Accommodation and food service activities (I)","Euro","18629"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","J","Information and communication (J)","Euro","50695"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","M","Professional, scientific and technical activities (M)","Euro","40939"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","N","Administrative and support service activities (N)","Euro","27986"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","O","Public administration and defence; compulsory social security (O)","Euro","48173"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","P","Education (P)","Euro","49073"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Q","Human health and social work activities (Q)","Euro","36715"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Y0900","Industry (B to E)","Euro","51601"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Y3500","Financial, insurance and real estate activities (K,L)","Euro","47435"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1451-13a3-e055-000000000001","Co. Cork","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","23326"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","-","All NACE economic sectors","Euro","34489"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","F","Construction (F)","Euro","32306"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23984"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","H","Transportation and storage (H)","Euro","33155"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","I","Accommodation and food service activities (I)","Euro","17319"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","J","Information and communication (J)","Euro","45593"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","M","Professional, scientific and technical activities (M)","Euro","32186"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","N","Administrative and support service activities (N)","Euro","22196"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","O","Public administration and defence; compulsory social security (O)","Euro","45276"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","P","Education (P)","Euro","48616"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Q","Human health and social work activities (Q)","Euro","36429"
